Node,max_freq
1433B_HUMAN,0.04
1433E_HUMAN,0.04
1433G_HUMAN,0.04
1433T_HUMAN,0.04
2A5A_HUMAN,0.08
2A5D_HUMAN,0.12
2A5E_HUMAN,0.04
2AAB_HUMAN,0.04
4EBP1_HUMAN,0.04
4ET_HUMAN,0.09
5NTC_HUMAN,0.12
A2ABF8_HUMAN,0.04
A2RUM7_HUMAN,0.04
A4QPA9_HUMAN,0.04
A8K3Y2_HUMAN,0.04
AAPK1_HUMAN,0.04
AASD1_HUMAN,0.02
AB1IP_HUMAN,0.06
ABL1_HUMAN,0.04
ACAP1_HUMAN,0.06
ACTB_HUMAN,0.04
ACTS_HUMAN,0.04
ADNP_HUMAN,0.04
ADRM1_HUMAN,0.04
AFF4_HUMAN,0.12
AGFG1_HUMAN,0.04
AKA10_HUMAN,0.06
AKA11_HUMAN,0.06
AKAP1_HUMAN,0.04
AKP13_HUMAN,0.06
AKP8L_HUMAN,0.08
AKT1_HUMAN,0.04
AKT2_HUMAN,0.04
AMFR_HUMAN,0.04
AMPD2_HUMAN,0.06
AMRA1_HUMAN,0.04
ANKH1_HUMAN,0.04
ANKZ1_HUMAN,0.04
APC1_HUMAN,0.04
APC_HUMAN,0.04
APOB_HUMAN,0.02
ARC1A_HUMAN,0.02
ARF4_HUMAN,0.04
ARHG7_HUMAN,0.04
ARHGC_HUMAN,0.04
ARI2_HUMAN,0.04
ARI3A_HUMAN,0.06
ARI4B_HUMAN,0.06
ARID2_HUMAN,0.06
ARNT_HUMAN,0.04
ARP10_HUMAN,0.04
ASF1A_HUMAN,0.04
ASPP2_HUMAN,0.04
ASXL2_HUMAN,0.04
AT7L3_HUMAN,0.06
ATAD2_HUMAN,0.04
ATAD5_HUMAN,0.03
ATF2_HUMAN,0.04
ATM_HUMAN,0.04
ATN1_HUMAN,0.04
ATPG_HUMAN,0.04
ATX2L_HUMAN,0.06
AUP1_HUMAN,0.04
AURKB_HUMAN,0.04
AXIN1_HUMAN,0.04
B0LPE5_HUMAN,0.04
B0QZ35_HUMAN,0.04
B1AHB0_HUMAN,0.04
B2R4R0_HUMAN,0.04
B2R5T5_HUMAN,0.04
B2RBV7_HUMAN,0.04
B3KTM8_HUMAN,0.04
B3KUN1_HUMAN,0.04
B4DL80_HUMAN,0.04
B4DP61_HUMAN,0.04
B4DQB3_HUMAN,0.04
B4DWW4_HUMAN,0.04
B4E1U9_HUMAN,0.04
B7Z240_HUMAN,0.04
B7Z3D6_HUMAN,0.04
BAD_HUMAN,0.04
BANP_HUMAN,0.09
BAP1_HUMAN,0.04
BAZ1A_HUMAN,0.04
BAZ1B_HUMAN,0.04
BAZ2A_HUMAN,0.04
BCL2_HUMAN,0.04
BCL6_HUMAN,0.04
BCL9_HUMAN,0.04
BCLF1_HUMAN,0.06
BCR_HUMAN,0.04
BECN1_HUMAN,0.04
BICD1_HUMAN,0.04
BIG2_HUMAN,0.04
BIRC5_HUMAN,0.04
BLK_HUMAN,0.04
BLM_HUMAN,0.04
BMI1_HUMAN,0.04
BMP2K_HUMAN,0.02
BNI3L_HUMAN,0.04
BNIP3_HUMAN,0.04
BOREA_HUMAN,0.08
BPL1_HUMAN,0.03
BRAP_HUMAN,0.06
BRCA1_HUMAN,0.04
BRPF1_HUMAN,0.2
BTF3_HUMAN,0.06
C1QBP_HUMAN,0.04
C8AP2_HUMAN,0.04
CADH1_HUMAN,0.04
CAF1A_HUMAN,0.06
CAF1B_HUMAN,0.06
CALX_HUMAN,0.04
CBL_HUMAN,0.04
CBP_HUMAN,0.04
CBX4_HUMAN,0.04
CBX5_HUMAN,0.04
CBX8_HUMAN,0.04
CCAR2_HUMAN,0.04
CCNB1_HUMAN,0.04
CCND3_HUMAN,0.04
CCNE1_HUMAN,0.04
CCNT1_HUMAN,0.04
CD2A2_HUMAN,0.04
CD2AP_HUMAN,0.04
CD2B2_HUMAN,0.04
CD3E_HUMAN,0.04
CD3Z_HUMAN,0.04
CD5_HUMAN,0.04
CD82_HUMAN,0.03
CDAN1_HUMAN,0.04
CDC20_HUMAN,0.04
CDC42_HUMAN,0.04
CDC5L_HUMAN,0.04
CDC6_HUMAN,0.04
CDC73_HUMAN,0.04
CDC7_HUMAN,0.04
CDK12_HUMAN,0.03
CDK1_HUMAN,0.04
CDK2_HUMAN,0.04
CDK4_HUMAN,0.04
CDK9_HUMAN,0.04
CDN1A_HUMAN,0.04
CDT1_HUMAN,0.04
CE022_HUMAN,0.08
CE170_HUMAN,0.01
CENPA_HUMAN,0.04
CENPE_HUMAN,0.06
CENPF_HUMAN,0.18
CEP55_HUMAN,0.05
CEP72_HUMAN,0.2
CFTR_HUMAN,0.04
CHAP1_HUMAN,0.12
CHD1L_HUMAN,0.03
CHD3_HUMAN,0.04
CHD4_HUMAN,0.04
CHERP_HUMAN,0.04
CHIP_HUMAN,0.04
CHK1_HUMAN,0.04
CIR1_HUMAN,0.04
CIRBP_HUMAN,0.01
CLAP1_HUMAN,0.13
CLCA_HUMAN,0.03
CLK4_HUMAN,0.2
CLSPN_HUMAN,0.04
