Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)
A0A024R274	unreviewed	A0A024R274_HUMAN	Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member)	SMAD4	adrenal gland development [GO:0030325]; atrioventricular canal development [GO:0036302]; atrioventricular valve formation [GO:0003190]; axon guidance [GO:0007411]; BMP signaling pathway [GO:0030509]; brainstem development [GO:0003360]; branching involved in ureteric bud morphogenesis [GO:0001658]; cardiac muscle hypertrophy in response to stress [GO:0014898]; cell population proliferation [GO:0008283]; cellular response to glucose stimulus [GO:0071333]; developmental growth [GO:0048589]; embryonic digit morphogenesis [GO:0042733]; endocardial cell differentiation [GO:0060956]; endothelial cell activation [GO:0042118]; epithelial to mesenchymal transition involved in endocardial cushion formation [GO:0003198]; ERK1 and ERK2 cascade [GO:0070371]; female gonad morphogenesis [GO:0061040]; formation of anatomical boundary [GO:0048859]; gastrulation with mouth forming second [GO:0001702]; in utero embryonic development [GO:0001701]; interleukin-6-mediated signaling pathway [GO:0070102]; intracellular iron ion homeostasis [GO:0006879]; left ventricular cardiac muscle tissue morphogenesis [GO:0003220]; mesendoderm development [GO:0048382]; metanephric mesenchyme morphogenesis [GO:0072133]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; negative regulation of cardiac myofibril assembly [GO:1905305]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nephrogenic mesenchyme morphogenesis [GO:0072134]; neural crest cell differentiation [GO:0014033]; neuron fate commitment [GO:0048663]; osteoblast differentiation [GO:0001649]; outflow tract septum morphogenesis [GO:0003148]; ovarian follicle development [GO:0001541]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cell proliferation involved in heart valve morphogenesis [GO:0003251]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of follicle-stimulating hormone secretion [GO:0046881]; positive regulation of luteinizing hormone secretion [GO:0033686]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of SMAD protein signal transduction [GO:0060391]; regulation of hair follicle development [GO:0051797]; sebaceous gland development [GO:0048733]; secondary palate development [GO:0062009]; seminiferous tubule development [GO:0072520]; single fertilization [GO:0007338]; SMAD protein signal transduction [GO:0060395]; somite rostral/caudal axis specification [GO:0032525]; spermatogenesis [GO:0007283]; transcription by RNA polymerase II [GO:0006366]; transforming growth factor beta receptor signaling pathway [GO:0007179]; uterus development [GO:0060065]; ventricular septum morphogenesis [GO:0060412]
A0A024R5Z7	unreviewed	A0A024R5Z7_HUMAN	Annexin	ANXA2 hCG_2004404	angiogenesis [GO:0001525]; cell-matrix adhesion [GO:0007160]; collagen fibril organization [GO:0030199]; epithelial cell apoptotic process [GO:1904019]; fibrinolysis [GO:0042730]; lung development [GO:0030324]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of low-density lipoprotein particle receptor catabolic process [GO:0032804]; positive regulation of low-density lipoprotein particle clearance [GO:1905581]; positive regulation of receptor recycling [GO:0001921]; positive regulation of receptor-mediated endocytosis involved in cholesterol transport [GO:1905602]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of neurogenesis [GO:0050767]; response to activity [GO:0014823]
A0A0A0MQU7	unreviewed	A0A0A0MQU7_HUMAN	HNF1 homeobox A	HNF1A	apoptotic nuclear changes [GO:0030262]; bile acid and bile salt transport [GO:0015721]; bile acid biosynthetic process [GO:0006699]; blastocyst development [GO:0001824]; bone resorption [GO:0045453]; cellular response to glucose stimulus [GO:0071333]; cellular response to L-leucine [GO:0071233]; cellular response to rapamycin [GO:0072752]; cholesterol metabolic process [GO:0008203]; chromatin remodeling [GO:0006338]; embryonic limb morphogenesis [GO:0030326]; fatty acid biosynthetic process [GO:0006633]; fatty acid transport [GO:0015908]; glucose import [GO:0046323]; heme biosynthetic process [GO:0006783]; insulin secretion [GO:0030073]; liver development [GO:0001889]; negative regulation of apoptotic process [GO:0043066]; negative regulation of miRNA processing [GO:1903799]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; negative regulation of transcription by RNA polymerase II [GO:0000122]; pancreas development [GO:0031016]; paraxial mesoderm formation [GO:0048341]; placenta development [GO:0001890]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of insulin secretion [GO:0032024]; positive regulation of mitochondrial membrane potential [GO:0010918]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; regulation of NADP metabolic process [GO:1902031]; regulation of Wnt signaling pathway [GO:0030111]; renal glucose absorption [GO:0035623]; reproductive structure development [GO:0048608]; response to oxidative stress [GO:0006979]; reverse cholesterol transport [GO:0043691]; transcription by RNA polymerase II [GO:0006366]
A0A0S2Z310	unreviewed	A0A0S2Z310_HUMAN	Serine/threonine-protein kinase receptor (EC 2.7.11.30)	ACVRL1	angiogenesis [GO:0001525]; blood vessel remodeling [GO:0001974]; BMP signaling pathway [GO:0030509]; dorsal aorta morphogenesis [GO:0035912]; endocardial cushion morphogenesis [GO:0003203]; in utero embryonic development [GO:0001701]; lymphangiogenesis [GO:0001946]; lymphatic endothelial cell differentiation [GO:0060836]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; positive regulation of angiogenesis [GO:0045766]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of endothelial cell differentiation [GO:0045603]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of transcription by RNA polymerase II [GO:0045944]; response to hypoxia [GO:0001666]; retina vasculature development in camera-type eye [GO:0061298]; transforming growth factor beta receptor signaling pathway [GO:0007179]; venous blood vessel development [GO:0060841]
A0A0S2Z383	unreviewed	A0A0S2Z383_HUMAN	Homeobox protein Nkx-2.5 (Homeobox protein NK-2 homolog E)	NKX2-5	adult heart development [GO:0007512]; apoptotic process involved in heart morphogenesis [GO:0003278]; atrial cardiac muscle tissue development [GO:0003228]; atrioventricular node cell development [GO:0060928]; atrioventricular node cell fate commitment [GO:0060929]; bundle of His development [GO:0003166]; cardiac muscle cell proliferation [GO:0060038]; cardiac muscle contraction [GO:0060048]; cardiac septum morphogenesis [GO:0060411]; cardiac ventricle formation [GO:0003211]; embryonic heart tube left/right pattern formation [GO:0060971]; epithelial cell apoptotic process [GO:1904019]; epithelial cell differentiation [GO:0030855]; epithelial cell proliferation [GO:0050673]; heart looping [GO:0001947]; heart trabecula formation [GO:0060347]; hemopoiesis [GO:0030097]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of epithelial cell apoptotic process [GO:1904036]; negative regulation of transcription by RNA polymerase II [GO:0000122]; outflow tract morphogenesis [GO:0003151]; pharyngeal system development [GO:0060037]; positive regulation of cardioblast differentiation [GO:0051891]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of gene expression [GO:0010628]; positive regulation of heart contraction [GO:0045823]; positive regulation of sodium ion transport [GO:0010765]; positive regulation of transcription initiation by RNA polymerase II [GO:0060261]; proepicardium development [GO:0003342]; pulmonary myocardium development [GO:0003350]; Purkinje myocyte differentiation [GO:0003168]; regulation of cardiac conduction [GO:1903779]; regulation of cardiac muscle cell proliferation [GO:0060043]; regulation of cardiac muscle contraction [GO:0055117]; spleen development [GO:0048536]; thyroid gland development [GO:0030878]; transcription by RNA polymerase II [GO:0006366]; vasculogenesis [GO:0001570]; ventricular cardiac myofibril assembly [GO:0055005]; ventricular trabecula myocardium morphogenesis [GO:0003222]
A0A0S2Z3C7	unreviewed	A0A0S2Z3C7_HUMAN	Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (CD40L receptor)	CD40	B cell mediated immunity [GO:0019724]; B cell proliferation [GO:0042100]; CD40 signaling pathway [GO:0023035]; cellular response to erythropoietin [GO:0036018]; cellular response to interleukin-1 [GO:0071347]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to tumor necrosis factor [GO:0071356]; defense response to protozoan [GO:0042832]; defense response to virus [GO:0051607]; immune response-regulating cell surface receptor signaling pathway [GO:0002768]; intracellular calcium ion homeostasis [GO:0006874]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; positive regulation of angiogenesis [GO:0045766]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of isotype switching to IgG isotypes [GO:0048304]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; response to cobalamin [GO:0033590]; response to peptide [GO:1901652]; response to type II interferon [GO:0034341]; TRIF-dependent toll-like receptor signaling pathway [GO:0035666]
A0A0S2Z4C6	unreviewed	A0A0S2Z4C6_HUMAN	Serine/threonine-protein phosphatase (EC 3.1.3.16)	PPP3CA	calcineurin-NFAT signaling cascade [GO:0033173]; calcium ion transport [GO:0006816]; cardiac muscle hypertrophy in response to stress [GO:0014898]; cellular response to glucose stimulus [GO:0071333]; dendrite morphogenesis [GO:0048813]; dephosphorylation [GO:0016311]; excitatory postsynaptic potential [GO:0060079]; G1/S transition of mitotic cell cycle [GO:0000082]; keratinocyte differentiation [GO:0030216]; multicellular organismal response to stress [GO:0033555]; negative regulation of dendrite morphogenesis [GO:0050774]; negative regulation of gene expression [GO:0010629]; negative regulation of insulin secretion [GO:0046676]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of cardiac muscle hypertrophy in response to stress [GO:1903244]; positive regulation of connective tissue replacement [GO:1905205]; positive regulation of endocytosis [GO:0045807]; positive regulation of gene expression [GO:0010628]; positive regulation of glomerulus development [GO:0090193]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of osteoclast differentiation [GO:0045672]; positive regulation of saliva secretion [GO:0046878]; positive regulation of transcription by RNA polymerase II [GO:0045944]; postsynaptic modulation of chemical synaptic transmission [GO:0099170]; protein import into nucleus [GO:0006606]; regulation of cell proliferation involved in kidney morphogenesis [GO:0061006]; renal filtration [GO:0097205]; response to amphetamine [GO:0001975]; skeletal muscle fiber development [GO:0048741]; transition between fast and slow fiber [GO:0014883]
A0A0S2Z4N5	unreviewed	A0A0S2Z4N5_HUMAN	Tumor protein 63 (p63)	TP63 TP73L hCG_16028	cellular senescence [GO:0090398]; chromatin remodeling [GO:0006338]; cloacal septation [GO:0060197]; cranial skeletal system development [GO:1904888]; determination of adult lifespan [GO:0008340]; ectoderm and mesoderm interaction [GO:0007499]; embryonic forelimb morphogenesis [GO:0035115]; embryonic hindlimb morphogenesis [GO:0035116]; epidermal cell division [GO:0010481]; epithelial cell development [GO:0002064]; establishment of planar polarity [GO:0001736]; establishment of skin barrier [GO:0061436]; female genitalia morphogenesis [GO:0048807]; hair follicle morphogenesis [GO:0031069]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; keratinocyte differentiation [GO:0030216]; keratinocyte proliferation [GO:0043616]; negative regulation of intracellular estrogen receptor signaling pathway [GO:0033147]; negative regulation of keratinocyte differentiation [GO:0045617]; negative regulation of mesoderm development [GO:2000381]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron apoptotic process [GO:0051402]; Notch signaling pathway [GO:0007219]; odontogenesis of dentin-containing tooth [GO:0042475]; polarized epithelial cell differentiation [GO:0030859]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of keratinocyte proliferation [GO:0010838]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of somatic stem cell population maintenance [GO:1904674]; positive regulation of stem cell proliferation [GO:2000648]; post-anal tail morphogenesis [GO:0036342]; prostatic bud formation [GO:0060513]; protein tetramerization [GO:0051262]; proximal/distal pattern formation [GO:0009954]; regulation of epidermal cell division [GO:0010482]; skeletal system development [GO:0001501]; skin morphogenesis [GO:0043589]; spermatogenesis [GO:0007283]; squamous basal epithelial stem cell differentiation involved in prostate gland acinus development [GO:0060529]; stem cell proliferation [GO:0072089]; sympathetic nervous system development [GO:0048485]; transcription by RNA polymerase II [GO:0006366]
A0A0S2Z5J4	unreviewed	A0A0S2Z5J4_HUMAN	Adaptor-related protein complex 3 beta 1 subunit isoform 1	AP3B1	anterograde synaptic vesicle transport [GO:0048490]; antigen processing and presentation, exogenous lipid antigen via MHC class Ib [GO:0048007]; blood coagulation [GO:0007596]; cell morphogenesis [GO:0000902]; establishment of protein localization to mitochondrial membrane involved in mitochondrial fission [GO:0090152]; granulocyte differentiation [GO:0030851]; hematopoietic progenitor cell differentiation [GO:0002244]; homeostasis of number of cells [GO:0048872]; inflammatory response [GO:0006954]; intracellular zinc ion homeostasis [GO:0006882]; lung morphogenesis [GO:0060425]; lysosome organization [GO:0007040]; melanosome organization [GO:0032438]; mRNA transcription by RNA polymerase II [GO:0042789]; platelet dense granule organization [GO:0060155]; positive regulation of NK T cell differentiation [GO:0051138]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein localization to cell surface [GO:0034394]; protein modification process [GO:0036211]; protein targeting to lysosome [GO:0006622]; respiratory system process [GO:0003016]; single fertilization [GO:0007338]; skin epidermis development [GO:0098773]; spermatogenesis [GO:0007283]; toll-like receptor signaling pathway [GO:0002224]; vesicle-mediated transport [GO:0016192]
A0A140VJC8	unreviewed	A0A140VJC8_HUMAN	Amyloid-beta A4 protein		adult locomotory behavior [GO:0008344]; axo-dendritic transport [GO:0008088]; axon midline choice point recognition [GO:0016199]; cholesterol metabolic process [GO:0008203]; collateral sprouting in absence of injury [GO:0048669]; cytosolic mRNA polyadenylation [GO:0180011]; dendrite development [GO:0016358]; endocytosis [GO:0006897]; extracellular matrix organization [GO:0030198]; forebrain development [GO:0030900]; G2/M transition of mitotic cell cycle [GO:0000086]; intracellular copper ion homeostasis [GO:0006878]; ionotropic glutamate receptor signaling pathway [GO:0035235]; mating behavior [GO:0007617]; negative regulation of neuron differentiation [GO:0045665]; neuromuscular process controlling balance [GO:0050885]; neuron apoptotic process [GO:0051402]; neuron cellular homeostasis [GO:0070050]; neuron remodeling [GO:0016322]; Notch signaling pathway [GO:0007219]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of multicellular organism growth [GO:0040014]; regulation of synapse structure or activity [GO:0050803]; regulation of translation [GO:0006417]; response to oxidative stress [GO:0006979]; smooth endoplasmic reticulum calcium ion homeostasis [GO:0051563]; suckling behavior [GO:0001967]; synaptic assembly at neuromuscular junction [GO:0051124]; visual learning [GO:0008542]
