Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)
A0A024R5Z7	unreviewed	A0A024R5Z7_HUMAN	Annexin	ANXA2 hCG_2004404	angiogenesis [GO:0001525]; cell-matrix adhesion [GO:0007160]; collagen fibril organization [GO:0030199]; epithelial cell apoptotic process [GO:1904019]; fibrinolysis [GO:0042730]; lung development [GO:0030324]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of low-density lipoprotein particle receptor catabolic process [GO:0032804]; positive regulation of low-density lipoprotein particle clearance [GO:1905581]; positive regulation of receptor recycling [GO:0001921]; positive regulation of receptor-mediated endocytosis involved in cholesterol transport [GO:1905602]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of neurogenesis [GO:0050767]; response to activity [GO:0014823]
A0A0U2ZQU7	unreviewed	A0A0U2ZQU7_HUMAN	Cadherin-1 (Epithelial cadherin)	CDH1	adherens junction organization [GO:0034332]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell morphogenesis [GO:0000902]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction assembly [GO:0007043]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; negative regulation of axon extension [GO:0030517]; neuron projection development [GO:0031175]; pituitary gland development [GO:0021983]; regulation of protein catabolic process at postsynapse, modulating synaptic transmission [GO:0099576]; response to Gram-positive bacterium [GO:0140459]; response to organic substance [GO:0010033]; response to toxic substance [GO:0009636]; response to xenobiotic stimulus [GO:0009410]; synapse assembly [GO:0007416]
A0A140VJM0	unreviewed	A0A140VJM0_HUMAN	Testicular tissue protein Li 96 (Testicular tissue protein Li 98)		cell adhesion mediated by integrin [GO:0033627]; cell-matrix adhesion [GO:0007160]; dendritic spine maintenance [GO:0097062]; exploration behavior [GO:0035640]; heart development [GO:0007507]; integrin-mediated signaling pathway [GO:0007229]; leukocyte migration [GO:0050900]; maternal process involved in female pregnancy [GO:0060135]; memory [GO:0007613]; negative regulation of cell projection organization [GO:0031345]; negative regulation of Rho protein signal transduction [GO:0035024]; neuron migration [GO:0001764]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of gene expression [GO:0010628]; positive regulation of neuron projection development [GO:0010976]; response to gonadotropin [GO:0034698]; response to xenobiotic stimulus [GO:0009410]; Rho protein signal transduction [GO:0007266]; synaptic membrane adhesion [GO:0099560]
A0A1U9X8X8	unreviewed	A0A1U9X8X8_HUMAN	Corneodesmosin		cell-cell adhesion [GO:0098609]; skin morphogenesis [GO:0043589]
A0A384MDY0	unreviewed	A0A384MDY0_HUMAN	Catenin alpha-1	CTNNA1 hCG_1782385	apical junction assembly [GO:0043297]; axon regeneration [GO:0031103]; cell migration [GO:0016477]; epithelial cell-cell adhesion [GO:0090136]; establishment or maintenance of cell polarity [GO:0007163]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; gap junction assembly [GO:0016264]; integrin-mediated signaling pathway [GO:0007229]; male gonad development [GO:0008584]; negative regulation of cell motility [GO:2000146]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of integrin-mediated signaling pathway [GO:2001045]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of protein localization to nucleus [GO:1900181]; neuroblast proliferation [GO:0007405]; odontogenesis of dentin-containing tooth [GO:0042475]; ovarian follicle development [GO:0001541]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; positive regulation of smoothened signaling pathway [GO:0045880]; protein localization [GO:0008104]; response to estrogen [GO:0043627]; response to organic cyclic compound [GO:0014070]; smoothened signaling pathway [GO:0007224]
A0A4D5RA86	unreviewed	A0A4D5RA86_HUMAN	Annexin		adaptive immune response [GO:0002250]; alpha-beta T cell differentiation [GO:0046632]; arachidonic acid secretion [GO:0050482]; cell surface receptor signaling pathway [GO:0007166]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; DNA duplex unwinding [GO:0032508]; endocrine pancreas development [GO:0031018]; estrous cycle [GO:0044849]; gliogenesis [GO:0042063]; granulocyte chemotaxis [GO:0071621]; hepatocyte differentiation [GO:0070365]; inflammatory response [GO:0006954]; insulin secretion [GO:0030073]; keratinocyte differentiation [GO:0030216]; myoblast migration involved in skeletal muscle regeneration [GO:0014839]; negative regulation of exocytosis [GO:0045920]; negative regulation of T-helper 2 cell differentiation [GO:0045629]; neutrophil clearance [GO:0097350]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of neutrophil apoptotic process [GO:0033031]; positive regulation of prostaglandin biosynthetic process [GO:0031394]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of T-helper 1 cell differentiation [GO:0045627]; positive regulation of vesicle fusion [GO:0031340]; positive regulation of wound healing [GO:0090303]; prolactin secretion [GO:0070459]; prostate gland development [GO:0030850]; regulation of cell shape [GO:0008360]; regulation of hormone secretion [GO:0046883]; regulation of inflammatory response [GO:0050727]; regulation of interleukin-1 production [GO:0032652]; regulation of leukocyte migration [GO:0002685]; response to estradiol [GO:0032355]; response to interleukin-1 [GO:0070555]; response to peptide hormone [GO:0043434]; response to X-ray [GO:0010165]
A0A4D5RA95	unreviewed	A0A4D5RA95_HUMAN	Annexin		adaptive immune response [GO:0002250]; alpha-beta T cell differentiation [GO:0046632]; arachidonic acid secretion [GO:0050482]; cell surface receptor signaling pathway [GO:0007166]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; DNA duplex unwinding [GO:0032508]; endocrine pancreas development [GO:0031018]; estrous cycle [GO:0044849]; gliogenesis [GO:0042063]; granulocyte chemotaxis [GO:0071621]; hepatocyte differentiation [GO:0070365]; inflammatory response [GO:0006954]; insulin secretion [GO:0030073]; keratinocyte differentiation [GO:0030216]; myoblast migration involved in skeletal muscle regeneration [GO:0014839]; negative regulation of exocytosis [GO:0045920]; negative regulation of T-helper 2 cell differentiation [GO:0045629]; neutrophil clearance [GO:0097350]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of neutrophil apoptotic process [GO:0033031]; positive regulation of prostaglandin biosynthetic process [GO:0031394]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of T-helper 1 cell differentiation [GO:0045627]; positive regulation of vesicle fusion [GO:0031340]; positive regulation of wound healing [GO:0090303]; prolactin secretion [GO:0070459]; prostate gland development [GO:0030850]; regulation of cell shape [GO:0008360]; regulation of hormone secretion [GO:0046883]; regulation of inflammatory response [GO:0050727]; regulation of interleukin-1 production [GO:0032652]; regulation of leukocyte migration [GO:0002685]; response to estradiol [GO:0032355]; response to interleukin-1 [GO:0070555]; response to peptide hormone [GO:0043434]; response to X-ray [GO:0010165]
A0A4D5RAA2	unreviewed	A0A4D5RAA2_HUMAN	Annexin		adaptive immune response [GO:0002250]; alpha-beta T cell differentiation [GO:0046632]; arachidonic acid secretion [GO:0050482]; cell surface receptor signaling pathway [GO:0007166]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; DNA duplex unwinding [GO:0032508]; endocrine pancreas development [GO:0031018]; estrous cycle [GO:0044849]; gliogenesis [GO:0042063]; granulocyte chemotaxis [GO:0071621]; hepatocyte differentiation [GO:0070365]; inflammatory response [GO:0006954]; insulin secretion [GO:0030073]; keratinocyte differentiation [GO:0030216]; myoblast migration involved in skeletal muscle regeneration [GO:0014839]; negative regulation of exocytosis [GO:0045920]; negative regulation of T-helper 2 cell differentiation [GO:0045629]; neutrophil clearance [GO:0097350]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of neutrophil apoptotic process [GO:0033031]; positive regulation of prostaglandin biosynthetic process [GO:0031394]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of T-helper 1 cell differentiation [GO:0045627]; positive regulation of vesicle fusion [GO:0031340]; positive regulation of wound healing [GO:0090303]; prolactin secretion [GO:0070459]; prostate gland development [GO:0030850]; regulation of cell shape [GO:0008360]; regulation of hormone secretion [GO:0046883]; regulation of inflammatory response [GO:0050727]; regulation of interleukin-1 production [GO:0032652]; regulation of leukocyte migration [GO:0002685]; response to estradiol [GO:0032355]; response to interleukin-1 [GO:0070555]; response to peptide hormone [GO:0043434]; response to X-ray [GO:0010165]
A0A4D5RAA5	unreviewed	A0A4D5RAA5_HUMAN	Annexin		adaptive immune response [GO:0002250]; alpha-beta T cell differentiation [GO:0046632]; arachidonic acid secretion [GO:0050482]; cell surface receptor signaling pathway [GO:0007166]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; DNA duplex unwinding [GO:0032508]; endocrine pancreas development [GO:0031018]; estrous cycle [GO:0044849]; gliogenesis [GO:0042063]; granulocyte chemotaxis [GO:0071621]; hepatocyte differentiation [GO:0070365]; inflammatory response [GO:0006954]; insulin secretion [GO:0030073]; keratinocyte differentiation [GO:0030216]; myoblast migration involved in skeletal muscle regeneration [GO:0014839]; negative regulation of exocytosis [GO:0045920]; negative regulation of T-helper 2 cell differentiation [GO:0045629]; neutrophil clearance [GO:0097350]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of neutrophil apoptotic process [GO:0033031]; positive regulation of prostaglandin biosynthetic process [GO:0031394]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of T-helper 1 cell differentiation [GO:0045627]; positive regulation of vesicle fusion [GO:0031340]; positive regulation of wound healing [GO:0090303]; prolactin secretion [GO:0070459]; prostate gland development [GO:0030850]; regulation of cell shape [GO:0008360]; regulation of hormone secretion [GO:0046883]; regulation of inflammatory response [GO:0050727]; regulation of interleukin-1 production [GO:0032652]; regulation of leukocyte migration [GO:0002685]; response to estradiol [GO:0032355]; response to interleukin-1 [GO:0070555]; response to peptide hormone [GO:0043434]; response to X-ray [GO:0010165]
A0A4D5RAB7	unreviewed	A0A4D5RAB7_HUMAN	Annexin		adaptive immune response [GO:0002250]; alpha-beta T cell differentiation [GO:0046632]; arachidonic acid secretion [GO:0050482]; cell surface receptor signaling pathway [GO:0007166]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; DNA duplex unwinding [GO:0032508]; endocrine pancreas development [GO:0031018]; estrous cycle [GO:0044849]; gliogenesis [GO:0042063]; granulocyte chemotaxis [GO:0071621]; hepatocyte differentiation [GO:0070365]; inflammatory response [GO:0006954]; insulin secretion [GO:0030073]; keratinocyte differentiation [GO:0030216]; myoblast migration involved in skeletal muscle regeneration [GO:0014839]; negative regulation of exocytosis [GO:0045920]; negative regulation of T-helper 2 cell differentiation [GO:0045629]; neutrophil clearance [GO:0097350]; positive regulation of cell migration involved in sprouting angiogenesis [GO:0090050]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of neutrophil apoptotic process [GO:0033031]; positive regulation of prostaglandin biosynthetic process [GO:0031394]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of T-helper 1 cell differentiation [GO:0045627]; positive regulation of vesicle fusion [GO:0031340]; positive regulation of wound healing [GO:0090303]; prolactin secretion [GO:0070459]; prostate gland development [GO:0030850]; regulation of cell shape [GO:0008360]; regulation of hormone secretion [GO:0046883]; regulation of inflammatory response [GO:0050727]; regulation of interleukin-1 production [GO:0032652]; regulation of leukocyte migration [GO:0002685]; response to estradiol [GO:0032355]; response to interleukin-1 [GO:0070555]; response to peptide hormone [GO:0043434]; response to X-ray [GO:0010165]
